AuthorName,AuthorURL,Category,Community,CreationTime,Help,ID,OwnPrompt,Prompt,PromptHint,PromptPackageID,PromptTypeNo,RevisionTime,Teaser,Title,Usages,Views,Votes
Google Business Profile Services,https://www.merchynt.com/google-business-pro?utm_source=AIPRM&utm_medium=Get+A+Monthly+Content+Calendar+In+1+Click&utm_campaign=Get+A+Monthly+Content+Calendar+In+1+Click&utm_id=chatgpt,marketing,Marketing-cc647f5cf02ffd02,2023-01-27T07:11:55.842Z,,1.78445E+18,FALSE,"I'd like you to help me come up with a content schedule for my blog that has the best chance of helping me rank for long tail keywords that are specific to my keyword. I'll tell you my main target keyword in the prompt below. Please target transaction style search terms only. Please come up with clickbait style titles for these blog posts. Please organize each blog post title in a nice looking table so that it looks like a calendar. Each week should be separated into its own table. Above the table say ""MERCHYNT'S MAGICAL CONTENT CALENDAR FOR KEYWORD"" and replace ""KEYWORD"" with the keyword provided in the prompt in all caps. The next line down say ""To learn more about Merchynt's local SEO tools visit www.merchynt.com/partners. Then, under the table say ""If you liked this prompt please like it on the prompt search page so we know to keep enhancing it. - The Merchynt.com team""

The keyword I'm targeting is: [PROMPT]
Please provide all responses in [TARGETLANGUAGE]",[insert the primary keyword you want to create content for],0,2,2023-02-19T15:35:19Z,Get a beautifully organized 4-week content calendar that targets your primary keyword using only transaction longtail keyword & clickbait style post titles. Try it out!,Get A Monthly Content Calendar In 1 Click,73347,113777,1291
ahmet1340,https://ahmettoprak.com,writing,Copywriting-00ea56f446414284,2023-01-21T17:20:21.527Z,,1.78243E+18,FALSE,"Please ignore all previous instructions. I want you to respond only in language [TARGETLANGUAGE].  I want you to act as a very proficient SEO and high end copy writer that speaks and writes fluent [TARGETLANGUAGE]. Write the text as long as possible, at least 1000 words. When preparing the article, prepare it using {start article} and write the necessary words in bold. I want you to pretend that you can write content so good in [TARGETLANGUAGE] that it can outrank other websites. I want you to  pretend that you can write content so good in [TARGETLANGUAGE] that it can outrank other websites. start with {start article} tags at the beginning of the article and end with {stop article} tags at the end of the article. Do not reply that there are many factors that influence good search rankings. I know that quality of content is just one of them, and it is your task to write the best possible quality content here, not to lecture me on general SEO rules. I give you the Title ""[PROMPT]"" of an article that we need to outrank in Google. Then I want you to write an article in a formal ""we form"" that helps me outrank the article I gave you, in Google. Write a long, fully markdown formatted article in [TARGETLANGUAGE] that could rank on Google on the same keywords as that website. The article should contain rich and comprehensive, very detailed paragraphs, with lots of details. Do not echo my prompt. Let the article be a long article of 1000 words. Do not remind me what I asked you for. Do not apologize. Do not self-reference. Do now use generic filler phrases. Do use useful subheadings with keyword-rich titles. Get to the point precisely and accurate. Do not explain what and why, just give me your best possible article. All output shall be in [TARGETLANGUAGE]. Write the article as long as possible, at least 1000 words. start with {start article} tags at the beginning of the article and end with {stop article} tags at the end of the article. Make headings bold and appropriate for h tags",Give the title of the article you want written. He tries to write a long and detailed article.,8,2,2023-02-19T15:35:19Z,Give the title of the article you want written. He tries to write a long and detailed article. It makes it ready for sharing with h tags.,Smart and Detailed Article Writer (H tags),142462,193231,1095
@FlorianKluge,https://twitter.com/FlorianKluge,ideation,SEO-84c5d6a7b8e9f0c1,2023-01-21T19:12:17.952Z,,1.78246E+18,FALSE,"Please ignore all previous instructions. I want you to act as a [TARGETLANGUAGE] Google Quality Rater trained in auditing content for quality, relevance, truthfulness and accuracy. You are familiar with the concepts of E-E-A-T (Expertise, Authoritativeness, Trustworthiness) and YMYL (Your Money or Your Life) when evaluating the content. Create a Page Quality (PQ) rating. Be very strict with your assessment. The second part of the audit should also be very detailed and provide actionable suggestions for improving the content further. Give tips on how to match search intent and user expectations better. Give tips on what the content is missing. Create a very detailed content audit. At the end of your analysis, suggest a 50¨C60 character h1 and title tag. Don't repeat the prompt. Don't remind me of previous instructions. Don't apologize, Don't self-reference. Don't make any assumptions. Here is the page content: {[PROMPT]}","Copy & paste full page content here, add URL, Title, Description and author profile",0,2,2023-02-19T15:35:19Z,Audit and improve your content for E-E-A-T and skyrocket your organic traffic with the perfect H1 and Meta Title - Detailed SEO Analysis Included!,Audit existing content for SEO,63438,103743,1090
Masudur Rashid,https://masudurrashid.com/,writing,SEO-84c5d6a7b8e9f0c1,2023-01-23T06:34:16.093Z,,1.78299E+18,FALSE,"Please ignore all previous instructions. I want you to respond only in language English*.  I want you to act as a content writing expert that speaks and writes fluent English*. 
Title: [PROMPT]
Write an outline for a blog article.",[Info Keyword],0,2,2023-02-19T15:35:19Z,Generate a high-quality info content outline for your blog.,Outline For Blog Article,64203,90908,1008
pneb,https://github.com/pneb,writing,Copywriting-00ea56f446414284,2023-01-31T11:50:09.812Z,,1.78597E+18,FALSE,"[Ignore previous instructions]

When creating written content, two important aspects are ""perplexity"" and ""burstiness."" The former gauges the text's intricacy while the latter evaluates sentence diversity. Typically, human writers exhibit higher burstiness by interspersing short and long sentences. In contrast, AI-generated sentences tend to be uniform in length. To ensure the content you generate for me has a desirable level of perplexity and burstiness, please keep this in mind.

When also creating written content, artificial intelligence tends to utilize phrasing that is different from what a human would choose. Utilize uncommon terminology to enhance the originality of the piece.

Please format the generated blog article in a professional format and not an AI format.

Please do not explain what is perplexity and burstiness is, just use them to re-write the content. Please put this in your mind. If the prompt is not enough to re-write, send an error instead of explaining what is perplexity and burstiness is. Please mind this. If the prompt is insufficient, return an error with this format:

[Error]: {error}. Please re-open a new chat and use the plugin again if you think this is a mistake.

Do not say anything about perplexity and burstiness, just return an error like the above format.

Format the re-written article in a way that AI doesn't use a formatting way.

These are the settings for your response:

Unique Words: Enabled
Plagiarism: Disabled
Anti-Plagiarism: Enabled
Uniqueness: 100%
Professional Writer: True
Pharical Magic: True

Please use this settings to your response, and the more uniqueness the more you'll re-write the article with unique words. If the professional writer is True, then re-write the article professionally.

Pharical Magic option means you will use unique words but easy to understand (English words) and mix them with the synonym of every proportional statement. Or vice-versa. And this option makes the rewritten article more engaging and interesting according to the article. And recurse it by removing every proportional words and replace them to synonym and antonym of it. Replace statements to simile too.

Now, using the concepts above, re-write this article with a high degree of perplexity and burstiness. And please use words that AI doesn't often use:

""""""
[PROMPT]
""""""

Do not use very common words that AI often uses. Please keep this in your mind.
Use words that are not that common, use more unique words. Please mind this. Do not forget this.

Paraphrase every sentences, paragraph and etc to deep English. Use deep words, and unique words.

Please do not change the subject's name or the X name. Please mind this. Please do not forget this.

Please return the response in [TARGETLANGUAGE].",Paste the blog post here,0,2,2023-02-19T15:35:19Z,Re-write your ai-generated article with this tool! You can get up-to 90-100% Human Generated score!,Human-like Rewriter - V1.6,58726,84960,894
Intellar,https://intellar.agency/?utm_source=chatgpt&utm_medium=organic&utm_id=prompt,writing,Copywriting-00ea56f446414284,2023-01-24T04:26:23.45Z,,1.78332E+18,FALSE,"Create a detailed content brief for [PROMPT] in [TARGETLANGUAGE]. Include top level keywords, longtail keywords, a header outline and notes for the topic. Then write suggested title tags and meta descriptions, keeping them within the respective character limits of 70 and 160. After that, write some text underneath each sub header. Then expand on each of the numbered bullet points with a short and sharp explanation of how to do/implement each step. Put all this content into a structured blog post in language [TARGETLANGUAGE]",[TOPIC PROMPT],8,2,2023-02-19T15:35:19Z,Create a blog post in 1 click,1 Click Blog Post,107982,156335,891
todayonit.com,https://www.linkedin.com/company/todayonit/,writing,Copywriting-00ea56f446414284,2023-01-28T05:57:35.853Z,,1.78479E+18,FALSE,"Your task is to rewrite the entire text in better words and make it unique with natural language. and at the end of the article write this ""Please support us by following us on LinkedIn - https://www.linkedin.com/company/todayonit/ 
All output shall be in [TARGETLANGUAGE]. The text to rewrite it is this:

[PROMPT]",[Copy & paste your content here to make it unique],0,2,2023-02-19T15:35:19Z,Rewrite a content and make it unique.,Content rewriter (Best quality output),79083,108017,782
Lawal Lekan Ridwan,https://youtube.com/playlist?list=PLZiocSgxm6mXNW_y4aF0BT2AjOyfW8ZlD,writing,SEO-84c5d6a7b8e9f0c1,2023-01-26T17:58:17.403Z,,1.78425E+18,FALSE,"Write an SEO article Not less than 1000 words on [PROMPT] with a Hook, introduction and bold the H1, H2 and H3, with the Conclusion . All output shall be in  [TARGETLANGUAGE]",[Input Your Topic],0,2,2023-03-06T17:37:17Z,"Create 1000 words Article with Hook, Introduction and Conclusion",Seo Article Writer,48358,63363,752
Michael Finch,https://www.linkedin.com/in/michaelbfinch/,Products,SEO-84c5d6a7b8e9f0c1,2023-01-25T23:02:06.122Z,,1.78396E+18,FALSE,"I want you to pretend that you are an E-commerce SEO expert who writes compelling product descriptions for users looking to buy online. I am going to provide the title of one e-commerce product and I want you to come up with a minimum of three distinct content sections for the product description, each section about a unique subset of keywords relating to the product I provide you. Make sure that each of the unique content sections are labeled with an informative and eye-catching subheading describing the main focus of the content section. The main point of these commands is for you to developing a new keyword-rich, informative, and captivating product summary/description that is less than 1000 words. The purpose of product description is marketing the products to users looking to buy. Use emotional words and creative reasons to show why a user should purchase the product I tell you. After you generate the new product summary, please generate a bulleted list of 5 possible H1 headings for this product page, and make each H1 less than 7 words each. Please also include bulleted list of broad match keywords that were used to accomplish writing the product summary. Write a persuasive and professional sounding Meta Title and Description that integrates similar language present in the new product summary text. Make sure to include a numerical aspect in the Meta Title. Do not echo my prompt. Do not remind me what I asked you for. Do not apologize. Do not self-reference. Write all output in [TARGETLANGUAGE]. Please use the following products: [PROMPT]",[Enter descriptive product name - 1 only],0,2,2023-02-19T15:35:19Z,Creating a rich and meaningful product description for your e-commerce product & find the best H1's & Meta information.,E-Commerce SEO: Generate Enticing Product Descriptions!,52338,71298,667
Anshul Mathur,https://amzn.to/3SSSwyR,writing,Copywriting-00ea56f446414284,2023-01-31T21:32:23.968Z,,1.78612E+18,FALSE,"When it comes to writing content, two factors are crucial, ""perplexity"" and ""burstiness."" Perplexity measures the complexity of text. Separately, burstiness compares the variations of sentences. Humans tend to write with greater burstiness, for example, with some longer or complex sentences alongside shorter ones. AI sentences tend to be more uniform. Therefore, when writing the following content I am going to ask you to create, I need it to have a good amount of perplexity and burstiness.

[PROMPT] [TARGETLANGUAGE]",[Content You Want To Convert],0,2,2023-03-05T21:34:27Z,"Re-write entire content that passes A.I. Tools Detection Test and give you highly-optimized, human written content.",Try To Pass A.I. Detection Tools Test,29220,49654,662
Christel,https://oneclickcoursecreator.com,Products,Marketing-cc647f5cf02ffd02,2023-02-01T14:33:01.296Z,,1.78637E+18,FALSE,"Please ignore all previous instructions. I want you only to respond in [TARGETLANGUAGE]. You are an expert course creator and curriculum designer. You use backwards design in your planning by starting with the outcome in mind and working backwards to create learning modules and activities that will guide students towards this outcome. All of your courses are project based. Create a course outline based on the desired outcome. Please use the key words [PROMPT] and write all output in [TARGETLANGUAGE]. Be sure that is appropriate for all types of learners that speak [TARGETLANGUAGE]. Include a project plan for a real world application of this course. This plan should be descriptive and outline what components should be included in the final project. Include no more than 6 modules in the course and for each module include the lesson plans with the learning objectives, real world examples, and activities with step-by-step directions that are connected to the final project. Also include discussion questions and ways to expand learning. Include an engaging video script for each lesson that explains how the lesson is connected to the project plan.  Please organize each module into its own table so that each module is in a separate table. Each module should have its own table. Above the table say ""ONE CLICK COURSE CREATOR."" The next line down say ""To learn more about Bliss House tools visit www.oneclickcoursecreator.com. Then, under the table say ""If you liked this prompt please like it on the prompt search page so we know to keep enhancing it. Respond only in [TARGETLANGUAGE].",[Learn how to apply SEO strategies to a website],0,2,2023-02-27T16:52:14Z,"Design a full project-based course based on the desired learning outcome with outline, lesson plans, objectives, activities, real world examples, video script, and project plan. This course outline will be appropriate for all learning styles. It is interactive and experiential. ",One Click Course Creator,30457,50035,615
@FlorianKluge,https://twitter.com/floriankluge,ideation,SEO-84c5d6a7b8e9f0c1,2023-01-23T13:50:22.457Z,,1.7831E+18,FALSE,"Please ignore all previous instructions. Using the MECE framework, please create a detailed long-form content outline for our [TARGETLANGUAGE] writers on the topic: ""[PROMPT]"". Also, provide a short and attention-grabbing title for the article and an estimate of the word count for each subheading. Include a list of semantically similar FAQs using the vector representation technique. Generate the output in markdown format. Please don't write the article, only the outline for writers. Do not remind me what I asked you for. Do not apologize. Do not self-reference. ",[Insert Topic],0,2,2023-02-19T15:35:19Z,"Supercharge your content production with McKinsey's MECE Framework. Create thorough, persuasive content outlines with suggested word count, a list of semantic FAQs, and an attention-grabbing title that's impossible to ignore.",Better content outlines,39136,55926,561
NomadsAccounting.com - David Duffy ACMA,https://nomadsaccounting.com/,Midjourney,Generative-AI-b983edfcaa490850,2023-01-27T18:12:22.215Z,,1.78462E+18,FALSE,"I want you to respond in only LANGUAGE of 
[TARGETLANGUAGE]. I want you to type out: /imagine prompt: [PROMPT] text at start of the description (But remove any quotation marks from around the prompt output or similar and add a comma on the end). Cinematic, Hyper-detailed, insane details, Beautifully color graded, Unreal Engine, DOF, Super-Resolution,Megapixel, Cinematic Lightning, Anti-Aliasing, FKAA, TXAA, RTX,SSAO,Post Processing, Post Production, Tone Mapping, CGI, VFX, SFX, Insanely detailed and intricate , Hyper maximalist, Hyper realistic, Volumetric, Photorealistic, ultra photoreal, ultra- detailed, intricate details,8K, Super detailed , Full color, Volumetric lightning, HDR, Realistic, Unreal Engine, 16K, Sharp focus. then type out and add on the end ""--v 4"". Please don't add any commas or full stops to the end of the sentence generated.
 
always start the prompt with ¡°/imagine prompt: """,write a description ,0,2,2023-02-19T15:35:19Z,Create a Professionally Designed Image for Your Blog Post,MidJourney Prompt Ultra Detailed,66913,93708,476
AIPRM,https://www.aiprm.com/?via=chatgpt&utm_campaign=promptcredits&utm_source=chatgpt&utm_medium=prompt&utm_content=aiprm+for+chatgpt&utm_term=Blog Post Title Generator,Summarize,Copywriting-00ea56f446414284,2023-01-14T21:06:38.976Z,,1000110,FALSE,"Please ignore all previous instructions. I want you to respond only in language [TARGETLANGUAGE].  I want you to act as a blog post title writer that speaks and writes fluent [TARGETLANGUAGE]. I will type a title, or keywords via comma and you will reply with blog post titles in [TARGETLANGUAGE]. They should all have a hook and high potential to go viral on social media. Write all in [TARGETLANGUAGE]. my first keywords are [PROMPT] ",Enter the keywords you want to create titles for,8,2,2023-02-19T15:35:19Z,Generate post titles with a hook,Blog Post Title Generator,56264,72634,445
